time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-12-07T20:53:25.300Z,-44.12,168.67,12,4.4,ml,7,,,,us,usp000au6m,2014-11-07T01:14:26.917Z,"74 km NNW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2001-12-07T19:27:34.140Z,-44.216,168.819,10,5.8,mwc,187,,,1.15,us,usp000au6b,2022-04-29T19:43:59.750Z,"59 km NNW of Wanaka, New Zealand",earthquake,,,,,reviewed,us,hrv
2001-09-21T13:52:30.400Z,-43.56,169.79,12,4.5,ml,7,,,,us,usp000apjb,2014-11-07T01:13:49.595Z,"131 km WNW of Geraldine, New Zealand",earthquake,,,,,reviewed,wel,wel
2001-01-19T06:54:14.400Z,-43.82,168.63,12,4.2,ml,4,,,,us,usp000a7zm,2014-11-07T01:11:57.447Z,"106 km NNW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-11-11T23:57:15.000Z,-44.26,168,12,4.2,ml,10,,,,us,usp000a3ey,2014-11-07T01:11:27.986Z,"99 km NW of Arrowtown, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-10-21T00:34:10.900Z,-44.06,168.69,12,4.9,ml,8,,,,us,usp000a259,2014-11-07T01:11:17.907Z,"80 km NNW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-06-21T08:19:38.400Z,-44.04,169.07,5,4.6,ml,,,,,us,usp0009a8u,2014-11-07T01:07:55.552Z,"73 km N of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
1998-10-20T20:02:59.800Z,-43.834,169.669,10,5.4,mwc,,,,1.19,us,usp0008wtg,2022-04-29T17:53:52.441Z,"104 km NNE of Wanaka, New Zealand",earthquake,,,,,reviewed,us,hrv
1997-09-16T15:24:04.340Z,-43.48,170.176,10,4.7,mb,,,,1.41,us,usp00087m5,2014-11-07T01:03:29.430Z,"106 km SW of Hokitika, New Zealand",earthquake,,,,1,reviewed,us,us
1997-09-16T10:08:16.410Z,-43.388,170.19,10,4.3,mb,,,,1.15,us,usp00087kv,2014-11-07T01:03:29.197Z,"97 km SW of Hokitika, New Zealand",earthquake,,,,1,reviewed,us,us
1995-09-26T16:53:33.740Z,-44.248,168.484,10,4.4,mb,,,,1.3,us,usp0007418,2014-11-07T00:58:47.388Z,"73 km NW of Wanaka, New Zealand",earthquake,,,,10,reviewed,us,us
1993-08-01T23:49:37.850Z,-44.322,169.302,18.2,4.7,ml,,,,0.4,us,usp0005xtk,2014-11-07T00:53:37.744Z,"43 km NNE of Wanaka, New Zealand",earthquake,,6.5,,,reviewed,us,wel
1993-03-06T14:30:14.150Z,-44.362,168.32,10,4.2,ml,,,,0.4,us,usp0005p31,2014-11-07T00:52:32.957Z,"74 km NNW of Arrowtown, New Zealand",earthquake,,,,,reviewed,us,wel
1993-01-12T06:59:08.560Z,-44.467,168.348,10,4.3,ml,,,,0.5,us,usp0005kn9,2014-11-07T00:52:13.445Z,"63 km NW of Arrowtown, New Zealand",earthquake,,,,,reviewed,us,wel
1992-12-04T12:38:13.500Z,-44.227,168.025,33,4,ml,,,,0.8,us,usp0005htk,2014-11-07T00:51:59.786Z,"100 km NW of Arrowtown, New Zealand",earthquake,,,,,reviewed,us,wel
1992-07-30T22:12:57.340Z,-44.218,168.111,8.4,4.2,mb,,,,0.5,us,usp0005brv,2014-11-07T00:51:08.710Z,"97 km NW of Arrowtown, New Zealand",earthquake,,3.7,,1,reviewed,us,us
1992-05-06T20:38:09.680Z,-44.247,168.032,10,4.5,mb,,,,1,us,usp0005705,2014-11-07T00:50:35.905Z,"98 km NW of Arrowtown, New Zealand",earthquake,,,,4,reviewed,us,us
1990-07-10T06:33:46.820Z,-43.884,169.211,10,5.2,mb,,,,1.3,us,usp0004bm7,2014-11-07T00:46:39.891Z,"South Island of New Zealand",earthquake,,,,10,reviewed,us,us
1988-05-15T18:26:16.700Z,-43.953,168.625,10.2,5.3,mw,,,,1.4,us,usp0003fzh,2022-04-28T20:46:58.429Z,"92 km NNW of Wanaka, New Zealand",earthquake,,4.7,,,reviewed,us,hrv
1984-09-27T21:41:09.380Z,-43.981,168.692,33,4.7,mb,,,,0.7,us,usp00027rr,2014-11-07T00:35:29.073Z,"87 km NNW of Wanaka, New Zealand",earthquake,,,,2,reviewed,us,us
1974-09-21T05:55:57.600Z,-44.374,168.14,49,5.8,mb,,,,,us,usp000083u,2022-04-27T18:08:52.558Z,"82 km NW of Arrowtown, New Zealand",earthquake,,,,,reviewed,us,us
1974-09-20T19:48:42.900Z,-44.476,168.009,51,5.4,mb,,,,,us,usp000083m,2022-04-27T18:08:39.961Z,"80 km NW of Queenstown, New Zealand",earthquake,,,,,reviewed,us,us
